SRModel
   version:     3.09.12
   written by:  Joe Marschall   (jochen.marschall@sri.com)
                Matthew MacLean (maclean@cubrc.org)

WARNING CODE   3: E-R reaction not of form A+[B]<-->AB+[] for reaction #   3

---Initial Conditions-----------------------------
      Wall Tmpr   =    3.0000E+02 K
      Pressure    =    3.0000E+03 Pa
      xO2         =    1.0824E+00 mol/m^3
      xO          =    1.2027E-01 mol/m^3
      xE(s1)      =    4.2286E-06 mol/m^2
      xO(s1)      =    1.0000E-15 mol/m^2
      xO2(s1)     =    1.0000E-15 mol/m^2

---Pressure/Temperature Scan----------------------
             Pi             Tw         Volume             Pf          resL2            xO2             xO         xE(s1)         xO(s1)        xO2(s1)            gO2             gO          wO2_1          wO2_2          wO2_3          wO2_4          wO2_5           wO_1           wO_2           wO_3           wO_4           wO_5       wE(s1)_1       wE(s1)_2       wE(s1)_3       wE(s1)_4       wE(s1)_5       wO(s1)_1       wO(s1)_2       wO(s1)_3       wO(s1)_4       wO(s1)_5      wO2(s1)_1      wO2(s1)_2      wO2(s1)_3      wO2(s1)_4      wO2(s1)_5
   1.300000E+04   1.300000E+03   1.000000E+00   1.300000E+04   1.461440E-23   1.082445E+00   1.202717E-01   1.613394E-10   2.086776E-07   4.142944E-06  -1.781613E-03   2.267623E-02   0.000000E+00   9.194291E-03   0.000000E+00   4.456361E-01  -7.689602E-03  -1.504689E-03  -9.194291E-03  -4.379465E-01  -4.456361E-01   0.000000E+00  -1.504689E-03   9.194291E-03   0.000000E+00   0.000000E+00  -7.689602E-03   1.504689E-03  -9.194291E-03  -4.379465E-01   4.456361E-01   0.000000E+00   0.000000E+00   0.000000E+00   4.379465E-01  -4.456361E-01   7.689602E-03
   1.400000E+04   1.400000E+03   1.000000E+00   1.400000E+04   1.418458E-23   1.082445E+00   1.202717E-01   3.505569E-10   2.288435E-07   4.122296E-06  -2.155930E-03   2.744051E-02   0.000000E+00   1.350853E-02   0.000000E+00   5.581178E-01  -1.011576E-02  -3.392776E-03  -1.350853E-02  -5.480020E-01  -5.581178E-01   0.000000E+00  -3.392776E-03   1.350853E-02   0.000000E+00   0.000000E+00  -1.011576E-02   3.392776E-03  -1.350853E-02  -5.480020E-01   5.581178E-01   0.000000E+00   0.000000E+00   0.000000E+00   5.480020E-01  -5.581178E-01   1.011576E-02
   1.500000E+04   1.500000E+03   1.000000E+00   1.500000E+04   2.359112E-23   1.082445E+00   1.202717E-01   1.000427E-09   2.491050E-07   4.099655E-06  -2.556323E-03   3.253668E-02   0.000000E+00   1.898661E-02   0.000000E+00   6.791388E-01  -8.964547E-03  -1.002206E-02  -1.898661E-02  -6.701742E-01  -6.791388E-01   0.000000E+00  -1.002206E-02   1.898661E-02   0.000000E+00   0.000000E+00  -8.964547E-03   1.002206E-02  -1.898661E-02  -6.701742E-01   6.791388E-01   0.000000E+00   0.000000E+00   0.000000E+00   6.701742E-01  -6.791388E-01   8.964547E-03
   1.600000E+04   1.600000E+03   1.000000E+00   1.600000E+04   2.074497E-23   1.082445E+00   1.202717E-01   3.159948E-09   2.726138E-07   4.068638E-06  -3.011503E-03   3.833018E-02   0.000000E+00   2.600316E-02   0.000000E+00   8.058063E-01   6.689606E-03  -3.269276E-02  -2.600316E-02  -8.124959E-01  -8.058063E-01  -0.000000E+00  -3.269276E-02   2.600316E-02   0.000000E+00   0.000000E+00   6.689606E-03   3.269276E-02  -2.600316E-02  -8.124959E-01   8.058063E-01  -0.000000E+00   0.000000E+00   0.000000E+00   8.124959E-01  -8.058063E-01  -6.689606E-03
   1.700000E+04   1.700000E+03   1.000000E+00   1.700000E+04   2.440214E-23   1.082445E+00   1.202717E-01   9.519131E-09   3.074556E-07   4.015959E-06  -3.603946E-03   4.587074E-02   0.000000E+00   3.561930E-02   0.000000E+00   9.328274E-01   6.589007E-02  -1.015094E-01  -3.561930E-02  -9.987175E-01  -9.328274E-01  -0.000000E+00  -1.015094E-01   3.561930E-02   0.000000E+00   0.000000E+00   6.589007E-02   1.015094E-01  -3.561930E-02  -9.987175E-01   9.328274E-01  -0.000000E+00   0.000000E+00   0.000000E+00   9.987175E-01  -9.328274E-01  -6.589007E-02
   1.800000E+04   1.800000E+03   1.000000E+00   1.800000E+04   2.001766E-23   1.082445E+00   1.202717E-01   2.578305E-08   3.707383E-07   3.906555E-06  -4.503793E-03   5.732392E-02   0.000000E+00   5.036815E-02   0.000000E+00   1.047191E+00   2.325092E-01  -2.828773E-01  -5.036815E-02  -1.279700E+00  -1.047191E+00  -0.000000E+00  -2.828773E-01   5.036815E-02   0.000000E+00   0.000000E+00   2.325092E-01   2.828773E-01  -5.036815E-02  -1.279700E+00   1.047191E+00  -0.000000E+00   0.000000E+00   0.000000E+00   1.279700E+00  -1.047191E+00  -2.325092E-01
   1.900000E+04   1.900000E+03   1.000000E+00   1.900000E+04   3.857137E-23   1.082445E+00   1.202717E-01   6.161317E-08   4.949470E-07   3.694490E-06  -6.003474E-03   7.641175E-02   0.000000E+00   7.542242E-02   0.000000E+00   1.127246E+00   6.188713E-01  -6.942937E-01  -7.542242E-02  -1.746118E+00  -1.127246E+00  -0.000000E+00  -6.942937E-01   7.542242E-02   0.000000E+00   0.000000E+00   6.188713E-01   6.942937E-01  -7.542242E-02  -1.746118E+00   1.127246E+00  -0.000000E+00   0.000000E+00   0.000000E+00   1.746118E+00  -1.127246E+00  -6.188713E-01
   2.000000E+04   2.000000E+03   1.000000E+00   2.000000E+04   3.743370E-23   1.082445E+00   1.202717E-01   1.296917E-07   7.340268E-07   3.364882E-06  -8.521543E-03   1.084615E-01   0.000000E+00   1.197686E-01   0.000000E+00   1.154544E+00   1.378413E+00  -1.498182E+00  -1.197686E-01  -2.532958E+00  -1.154544E+00  -0.000000E+00  -1.498182E+00   1.197686E-01   0.000000E+00   0.000000E+00   1.378413E+00   1.498182E+00  -1.197686E-01  -2.532958E+00   1.154544E+00  -0.000000E+00   0.000000E+00   0.000000E+00   2.532958E+00  -1.154544E+00  -1.378413E+00
---Mole Fraction Scan----------------------
         mfi_O2          mfi_O         Volume             Pf          resL2            xO2             xO         xE(s1)         xO(s1)        xO2(s1)            gO2             gO          wO2_1          wO2_2          wO2_3          wO2_4          wO2_5           wO_1           wO_2           wO_3           wO_4           wO_5       wE(s1)_1       wE(s1)_2       wE(s1)_3       wE(s1)_4       wE(s1)_5       wO(s1)_1       wO(s1)_2       wO(s1)_3       wO(s1)_4       wO(s1)_5      wO2(s1)_1      wO2(s1)_2      wO2(s1)_3      wO2(s1)_4      wO2(s1)_5

